Classification,Message
Meeting,"Todays meeting will probably last a few hours, I'd say. Tomorrow would definitely work better, if that works for you. I am open pretty much all day. So any time after 9 a.m would work great!"
Unknown ',"Hannah- my apologies, just saw your email and vm. I'm open to new opportunities but have relocated back to Denver. That may change things so please let me know"
Unknown ',"Hannah- my apologies, just saw your email and vm. I'm open to new opportunities but have relocated back to Denver. That may change things so please let me know"
Deny,Thank you for reaching out to me and I am definitely interested in discussing this role. I am getting ready to walk into a meeting right now though. Is there any way we can schedule a different time to discuss this role further?
Wrong number,"Sorry, you've got the wrong number. This is not Christina."
Unknown,Thanks Crissy! I am currently on a client visit/ I can check out the JD afterwords and if it's a good fit give you a call tonight.
More info,Hi - who is this?
Who is this,"Hey, sorry who is this?"
More info,Hi I'm not sure who this is or what role this is regarding.
Deny,Thanks. Not interested at this time
More info,"Im sorry, who is this?"
More info,Here is the LinkedIn info for Doug Drazin. He has a sport background and great UX experience. I think he'd be a great fit for you to talk to. https://www.linkedin.com/in/dldrazin
Deny,"Hi, Anna. Thanks for reaching out. But I'm not considering relocation at the moment."
More info,What company? Where is the office located?
Wrong number,Sorry no Kimberly here...wrong #
How did you get my #?,Who gave you this number?
Deny,"Hi Anna, thank you but I am not interested at this time."
More info,"Always open to hear someone out. I'm sorry, can I ask who this is?"
More info,What position is this ?
Deny,"I have no idea who this is or what you're referring to. However, at this point in time, I'm not interested in new opportunities. Thanks."
Deny,"Hi Anna, thanks for reaching out but i am not interested in the position."
Who is this,I dont have this number. May I ask who this is?
Who is this,Who is this?
More info,Hi! Who is this? I'm sorry i just got a new phone last week
Deny,I'm not interested in a transition. Who is this
Who is this,Who is this?
Deny,"Sorry Anna, unfortunately I am not interested in any positions that require relocation from the West coast at this time. Thank you for your interest."
Unknown,"Hi Anna! Sorry, I'm not looking for any new opportunities at the moment. I will let you know if something changes."
Wrong number,I'm sorry but I think you have the wrong number
Deny,Sounds great! Thank you
Meeting,Hi Amanda I should be free today after 5:30
Wrong number,"I'm sorry, you have the wrong number"
Deny,"Hi Anna, thank you for your message. I'm not a very sports-oriented person so I doubt I'd be a fit for this position, but I'd be happy to put you in touch with other UX talent that I know may be a better fit. Best, Melissa"
Wrong number,I think you have the wrong number!
Unknown,Not that I am aware of
Unknown ',Awesome.... I will follow up today
Wrong number,I think you have the wrong number.
Wrong number,"Hi Anna, I think you may have entered the wrong phone number, I am the Service Manager at TEC Equipment at La Mirada"
Wrong number,I think you have the wrong number
Unknown,"125,000 but I said I was open for discussion that is what I am currently making"
Wrong number,Sorry you have the wrong number
Deny,I will search more tonight and report on my findings. Thank you.
Deny,"Hi there! I'm currently not looking into other opportunities, but feel free to keep me in the pipeline and reach out from time to time."
Wrong number,Wrong number
Deny,"Hi Anna, thanks for texting me. How about in 1.45pm PST? (In 25 minutes)"
Wrong number,I think you have the wrong person.
Deny,"Sorry, I'm not interested. Also I'm a vegetarian. I like to get behind brands that I personally enjoyed myself as well."
Unknown ',I would not qualify myself as a senior tax accountant. My tax experience is minimal.
Deny,"Ah I see, sorry to say I've accepted a role already but will be definitely open to future prospects if available!"
Deny,Ok no thanks only looking to change jobs if I can do it from tahoe. Thank you.
Avoid,Not interested delete my number.
Unknown ',The pay plan is not great it's good for a nubi
More info,"Hi Anna, I really prefer to do these types of communications via email until I know that I’m serious about exploring an opportunity. Please send job description/info to lburr322@gmail.com. I can review and if I’m interested we can set up a time to chat"
Unknown,Thanks
Unknown,Can you send over a calendar invite with the number I need to call in tomorrow. Thank you!
Unknown,Not interested thank you.
Unknown ',May I know who is the employer?
Unknown ',anytime
Unknown,That would work
Deny,"Crissy, I appreciate the interest. I reviewed the position that you are looking to fill and it is not a fit for me."
Unknown ',Look forward to it. Talk you soon. Have a great evening.
Unknown,Sure!
Meeting,That works for me
Deny,"Thanks for reaching out, but I'm not looking at the moment. I'm very content working for Verizon."
Unknown,I will open tomorrow any time after 12.
Deny,"Hello, thank you for your follow up and interest in my work. Unfortunately I do no have interest in moving to Boston where to position would seemingly need filled. Thank you for your time!"
Unknown,I'm sorry I haven't gotten back in touch with you today. I have been busy with appointments and conference calls all day. I'm actually one one right now that will last until 5pm.
Unknown,Yes
Unknown,"Hi Amanda, just tried you. Is now still a good time?"
Unknown,Perfect. Thank you very much
More info,Please consider my candidate i manhattan area.
Deny,Thank you for the link. I'm interested but I'm looking something close to the manhattan. I don't have car to drive there
Meeting,"Thanks! And yes, I can do anytime after 1pm"
Deny,Thank you. I am not interested at this time
More info,Is this a remote position?
Avoid,"Sorry not interested, pls don't text"
Unknown ',Just let me know I will make myself available
Deny,Awesome! Thanks!
Unknown,Is it ok if I save your direct line number?
Deny,"Thanks for reaching out however, the timing is not good for me."
Deny,I recently spoke with HR from OnPoint and they said they do their own recruiting and that they did receive my resume and will call me if they're interested in doing an interview. I'm going to wait for that call thank you for your time.
Unknown,I dont sorry
Unknown,yes
Deny,I'm not interested. Thank you.
Unknown,Thx
More info,"I'm sorry, how do you have this number?"
More info,This is inappropriate I did not give you my number or permission to contact me nor did I receive an email about draft kings. Stop messaging me.
Unknown,"Hi Anna, I am from California and won't be able to relocated to Boston. Sorry"
More info,"Hey, Vicki, May you send it again to yuxinhe2016@gmail.com?"
Unknown,I don't know what Happie is. Are you a recruiter?
Unknown,I will be sure to dial in this time.
Deny,Thanks for reaching out but not interested
Deny,1:30 would be great tomorrow! Thank you!
Unknown,Not interested thanks
Deny,"Hey Anna, thanks but not interested."
Deny,"Hi Anna, thanks for reaching out but I'm not looking to make a change at this time"
Unknown,I know Gabriel tks
Wrong number,Sorry but you must have the wrong number
Unknown,Awesome!Ok!
More info,"Alright, well I apologize I was unaware of that. I thought he was going to call me because that's how all of our conversations went. Is there a way to reschedule this so I can still connect with Trent?"
Unknown,No prob.
Meeting,Sure. I can do tomorrow 12:15pm
Unknown,"cwillustration@yahoo.com, I haven't used that address in over 10 years. Please let me know where you found that address so I can update it, thank you."
Unknown,"Thank you so much Amanda, I appreciate it. I'll look into further detail on the link you sent me."
Unknown,"Huh, wonder why that is..."
Unknown ',Was this number on her profile?
More info,Please email to me
Deny,Got it. Thanks!
Unknown,No I haven't received any emails. I'm sorry opportunity with Account Sense?
Deny,Hi there. I did get a couple emails. I just started a position with my family's business and not interested in another position. Good luck with your search.
Unknown,"You bet! I've got a lot of respect for Jennifer and her crew, they're a great firm."
Unknown,",,,,,, z,z ,, css z , ,, z , ,,x,, , , a. ,,, , ,, , z. ,, ,"
More info,Good afternoon Amanda. I haven't received an email yet; which account did you send it to? Thank you for contacting me.
Unknown ',Can I call you?
Unknown,"Yeah, I'll talk to her about it. Just out of curiosity, how did you get this number?"
Unknown,Yes
Unknown,Hello?
Unknown,"No problem, Thank you"
More info,"I currently work M-F 8-4, however, I can make arrangements in order to meet with you."
Meeting,"Hi Vicki, I can do 10 AM on Wed. Thank You Kind Regards, Rich G"
Unknown ',I will send my resume tonight.
Deny,Yes it does. I have 21 years in. Thank you
More info,"Hey Stephanie, I did not receive any emails from you. Would you be willing to send to bennipper11@gmail.com?"
More info,No I wasn't aware
Unknown ',Great. So whats next?
Meeting,"Hi Vicki, Can we speak tomorrow? Please tell me a time and I will confirm. Kind Regards,Rich G"
Deny,"Hi Stephanie. I've gotten them. 3 year senior position isn't for me, I've got 25 years of experience. But...Jennifer and I know each other and we've discussed my current situation, we've agreed to stay in touch."
Unknown,"Thank you, Chad. I will set up a time to talk with you soon."
Unknown,No worries! Thank you
Unknown,10:30 works great!
Unknown,Amanda who? And i have no received anything yet.
Deny,I did thanks! Not really looking for fulltime work. Thanks again!
Unknown,"Hi Stephanie, I'm confused about your text. I do work at Account Sense."
Deny,"At this time, I am not seeking employment. I work at the health district in finance. Thanks so much for reaching out! I really appreciate it. Again, I'm sorry for the communication and the response time."
Unknown,"I'm sorry, this is Karen's Husband's phone. To which service are you referring?"
Unknown,Just thought I should let you know
Wrong number,I'm sorry you must have texted the wrong number no worries
Who is this,I apologize for the inconvenience.
Unknown,"Good morning. Yes, I had responded to the second one. I know my iPhone network has been having issues as of late so it must not have gone through."
Unknown,Thanks not interested
Unknown,Sure by tomorrow I Should be feeling human and I only work until two
Unknown ',Amanda from?
Unknown,Hello I am I'm sorry I came down with the flu and have been out of commission for several days!
Meeting,I think I could do a quick 7:15 call
Deny,Hi. I did some thinking and given my current benefits and rate of pay it would not be a good transition for me at this time. Thank you for reaching out to me.
More info,Who is this? No I don't see it.
Unknown,Sounds good! Talk you then
More info,Can you tell me the email address please?
Unknown,This is Spam. I will block your phone
Unknown ',This spam
Spam,"Request today a loan of up to 1,000. Bad credit OK. Fast Approval - Click here: http://cass.sh/9JgrFAA Reply STOP to stop SMS."
More info,"Hi Crissy, yes I replied. Where is the position located?"
Unknown,Yes
Deny,No thank you. I am enjoying private practice at this time. Thank you for reaching out and thinking that I would be a good fit for this company. It looks like they do great work.
Unknown,Hey Amanda It's Angie no I have not received the emails. This is now my daughters phone. My new number is 732 925 4606. And the best email for me is agreenehick@gmail.com
Deny,No I am not. Thank you
Meeting,Hi Amanda. Thanks for reaching out! I'm available today at or after 1:30pm. Let me know if that works
Unknown,What company are you with?
Deny,I'm not interested at the moment
More info,"Hi Vicki, thanks for getting back to me. Yes, I'd love to learn more about this opportunity."
Unknown ',we can discuss. What is your email address?
More info,"Hi Chad, This opportunity looks very interesting. I definitely have the management and real estate secured lending experience. I can send you my resume and"
Confirm,Name of company? Or agency
Meeting,"I never received a call, just the moved time"
Deny,Sure- thanks for being in touch.
Unknown ',Were are you from?
Unknown,Yes
Deny,There is no Vicki at this number.
Unknown,Wonderful! Thank you. I will take a look during my break and get back to you after if that works.
Unknown,"Hello Amanda, I haven't received it yet"
Wrong number,Sorry I think you might have the wrong number?
More info,"Sorry to berate you with questions, what company is the content marketing manager position for?"
More info,You can email me at anthonyv.castellano@icloud.com
More info,Thank you! I'm going to have to find and replace that email. It is no longer active. You can send me the link with more info via text.
Unknown ',Amanda who?
Unknown,Ok
Unknown,Hi Amanda. Is this regarding Porky's?
Who is this,Or know who this is
Unknown,Got it. Just out of curiosity where did you find that particular email?
Meeting,"This is the role in Piscataway? I can chat. I'm pretty booked this week, I'm available tomorrow at 10am. Does that work?"
Unknown,I will be in the car driving so I can be reached between 10 and 2. How about 11
Deny,No thank you not interested
Wrong number,You have the wrong number
Unknown ',Oh ....gotcha. How about 11:30 then?
Unknown ',Amanda who?
More info,I did not receive an email. Please resend to info@smekdigital.com
Wrong number,You have the wrong person
Unknown,"I see, if that's the case I may not be the right candidate for this role, however I'd love to be considered for other opportunities located in NYC that you might be able to recommend"
Wrong number,Wrong number
More info,Hi Vicki- what company do you represent and what jobs are you referring to?
Unknown,I'm confused? OnPoint is local Pacific time?
Unknown,Hello Vicki - I hope all is well. I have not received your emails.
Unknown,Thanks - pass
Unknown ',Why would I be contacting you Eastern Time?
Unknown,I'm sorry I don't see any emails
More info,What is this web site?
Deny,Hi Amanda. I am not a graphic designer. Thanks though
Wrong number,Wrong number
More info,Thanks! Would the position be located in Piscataway or is there an opportunity to work remotely?
Unknown ',Can I ask which position it was? I've applied for a few over the pa@s@t@ @m@o@n@t@h@.@ ?=?
Wrong number,Who are you trying to reach?
Unknown ',Hawkins?
Unknown ',Lopez?
Unknown ',Weinberger?
Unknown,"Hi, I do, are you available around 11am? I'm just leaving to help a girlfriend out."
Unknown ',Vogel?
Unknown,Hi. Amanda who? I haven't received any emails regarding that - what email do you have
More info,"Hi there, no I did not."
Wrong number,I think you may have the wrong number. Who are you trying to reach?
Deny,No I don't think so
Unknown ',Which Amanda?
More info,"Hi Vicki! I'm so sorry, I didn't! My email is brookebdavis@gmail.com if you want to resend. Thank you, Brooke"
More info,I'm really sorry. Where did you send these to?
Avoid,Please stop
Deny,Thank you. I'm not really looking for another job opportunity right now
Unknown,Thank you for reaching out!
More info,No I didn't
Wrong number,I think you have the wrong number.
Unknown,Yes. Do you recall my reply?
Unknown,"No, thank you!"
Unknown,Hi sorry I'm not in graphics
Unknown,"Hi, I haven't. However that's not a position I am interested in. It's too far away from my skill set and would set my career backwards."
Unknown,"Hi Vicki, I'm sorry I don't believe I've received any of your emails. Could you provide more info about the opportunity?"
More info,Hi there! I don't believe so... would you mind resending? My email is dervela.obrien@gmail.com
More info,"Oh ok. Yes, that's not my current email address at the moment. It's gvargas34@gmail.com. If you send me an email there, I'd be happy to send you an updated resume and see if we can discuss the position further."
Meeting,I'll have time today after 5 or tomorrow morning before 9
Unknown,"Hey Vicki! No, just double checked and I have not received any emails - confirming you have j.duggira@gmail.com?"
Unknown,"Hey I haven't, also which Vicki is this again?"
Unknown,I can do it today or tomorrow. I will be out of pocket from about 1 on Tuesday until noon on Thursday
Unknown,Thank you for reaching out!
Deny,"Hi Vicki. I am currently happily employed, but thanks for thinking of me."
More info,Hi Amanda. I am interested in this position. Can I send you my resume?
Unknown,This is Vicki who?
More info,Hi.. would you please please resend one of my girls is on the lookout
Unknown,"No I have not, where are you messaging me from?"
More info,"Hi Vicki. No, sorry, I haven't received any emails. What email address did you send it to?"
Unknown,Hi Vicky. I believe I did. I wasn't sure if it was real. I am in the process of working on my own business for social media marketing at this time. It is called MorningBird Media.
How did you get my #?,Hi Vicki - I did but I'm not sure how you got my information
More info,Hey Vicki no which opportunity? What email address did u send it to?
Unknown,Crissy? From where? And to what email? Sorry and thanks
More info,Who is this? Crissy from where?
Unknown,Great weekend !!Yes the talk went well!!
Unknown,"Hi. I have not. I only handle my existing book, write only referrals because I manage my properties. I'm sure you're looking for full time producer."
Unknown,"Do I know you, Crissy?"
Avoid,Take me off ur list
Unknown,"I did a, I was going to reach out to you and get more information about it."
More info,Let me send them a message
Deny,I'm currently not interested but thank you.
Unknown,"Hi Crissy! I didn't see it, but let me ask my assistant.. I have like 5 ppl checking my emails"
Unknown,yes I just did. However I'm in training until Friday 8 a.m. to 5 p.m. every day CST
Unknown,Nope
Unknown,"I live in Boca,Miami too far"
Meeting,Yes I'm available Weds - Fri anytime
Unknown,christyredfern@gmail.com
Wrong number,"🍃🌺🍃Hay Vicki ,wrong #...🍃🌺🍃"
Unknown,I'm not a plumber and dont know any sorry
Unknown,Vicki who?
More info,I will send to you shortly. Thanks!
Deny,Chad thank you for thinking of me as possible candidate for this opportunity. Unfortunately I am not looking to change job at this time.
Unknown,"Laura, I will review and call you this week"
Unknown,"Thanks, I will submit my application! Additionally, please let me know if any other commercial real estate positions come across your desk. Thanks!"
Unknown,Sure
Unknown,Any idea about the salary range?
More info,I'm sorry. I did not receive your email. Try franhile@gmail.com
More info,Who is this again?
Unknown,"Good Morning, it's bethmclemore1@gmail.com. Thanks"
Avoid,Please do. Thank you
Unknown,Ok. Thanks. (sent with Gentle Effect)
Unknown,"Ok. That's great. Can you send me the link, and I will call you later today Vicki. Thanks. Ken"
Unknown,Sounds interesting. I don't believe this is the right fit for myself. Good luck.
Deny,"No , I am a security engineer"
Spam,?= Hey Paul ?= Here is Your Link - https://Money2.me/vEzcYD . UP TO 1500 LOAN. ANY SCORE Txt STOP to stop
Unknown,Ok thanks
Unknown ',Good morning Crissy.
Unknown,Yes I will be available
Unknown ',Or in the next two hours
Meeting,I'm available now
More info,"Chad, no I did not receive anything from you. What company do you work for?"
Unknown,"I have no idea what role you're asking about, or where it's located."
Unknown ',Raul Felipe: Stopped sharing.
Unknown,See where I am with Uber: https://trip-dc2.uber.com/fGzycCTFVa-
Unknown ',Raul Felipe: Stopped sharing.
Unknown,See where I am with Uber: https://trip-dc2.uber.com/U0bT5O_Ymw4
Unknown ',Raul Felipe: Stopped sharing.
Unknown,See where I am with Uber: https://trip-dc2.uber.com/tq2wpIoroRL
Unknown ',Raul Felipe: Stopped sharing.
Unknown,See where I am with Uber: https://trip-dc2.uber.com/Zzw0D6SdVLs
Unknown,"Sorry. No, I just launched my own business 😊"
Deny,"Thanks for the email. Unfortunately, I am not inclined to pursue this opportunity further."
Unknown,I don't believe I have received your email. Would it have come through LinkedIn
Unknown ',Raul Felipe: Stopped sharing.
Unknown,See where I am with Uber: https://trip-dc2.uber.com/UNSgNNSW6PW
Meeting,"Hi Crissy, I did, just saw your text. Thank you for the kind words. Can you call me Monday afternoon after 3:30?"
Spam,@kingbabystudio: Forged and crafted in the fire. https://t.co/nJbUAEU9LT #KingBaby #KingBabyjewelry #KingBabybrand #ForTheChosenFew #SterlingSilver #HandC...
More info,Hi. No I didn't. Is it still open?
Unknown,Not sure I received it. What email was it sent to
More info,"Hi, I didn't see it. Can you resend? Thanks."
Unknown,"Yes I did. It seems this position would require extensive travel. If so, I would not be interested in pursuing the opportunity. Thanks, Stefanie Bogetto"
Unknown,No I did not receive an email regarding that.
Unknown,Do I know you Chad?
More info,I'm sorry. Refresh my memory
More info,I did not get an email.
Unknown,Not that I know of. When did u send it?
Unknown ',Which Chad is this?
More info,Did you send it to
Unknown,"No, which email"
Deny,"I did, however I am unable to relocate. Thank you though."
Unknown,Valerie hasn't had this number in years sorry
Wrong number,Wrong number
Wrong number,U got the wrong number
Unknown,Very much so
Unknown,Yes
Unknown ',Correct
Unknown,What email address? Happie? Recruiting outfit?
Unknown,"Hi Krystal. Sorry for the late response. Fridays are my busiest day of the week. If you would still like to chat, let me know what time works for you early next week!"
Deny,"Hey Krystal! Happy Friday. Sorry for the delay, didn't leave the office til about 7 today. Thank you for reaching out, however I'm not interested in this opportunity as I'm extremely happy with Paychex. Thank you, and enjoy your weekend!"
Unknown,Hi Vicki. I don't recall receiving any of your emails. You can resend to gdepaco@gmail.com Thank you. Gregory
More info,And no I did not get your email
More info,I can chat
More info,Dont remeber receiving the information referenced. Currenrly out of town and will call Monday morning to the number provided.
Deny,"Thank you, I'm currently in private practice and its keeping me busy. Thanks for the opportunity, Kristy"
Deny,I'm not interested in being a recruiter. Good luck to you.
More info,I never received an email. Can you send it to daniel.trabish@gmail.com? Thanks
Spam,@kingbabystudio: Fan Friday!!! Looking stylish in #KingBaby https://t.co/YuLLNYXRUz #KingBabyJewelry #KingBabybrand #jewelry #mensjewelry...
Deny,"I appreciate the text, however I am not interested at this time. Thank you very much for taking the time to contact me."
Deny,"No sorry, found a new position"
Deny,"Hello! Thank you again for reaching out. I just accepted an offer at another company, so am no longer in the job market. Have a wonderful weekend!"
Unknown,"Hi Amanda, could you let me know if we are still connecting today? Thank you!"
Unknown,Thank you! I would appreciate the opportunity if they are flexible. I won't be in town for the next two weeks.
Unknown,Sorry I was on vacation I suppose we could chat Monday. I'm doing pretty god work at climacell now. If you feel you have a more than compelling offer to present I might consider.
Unknown,I just googled and see that you are located in phx chandler
Unknown,No thanks
Deny,Thank you for the interest but I am all set for now.
More info,And is this position in Tucson
How did you get my #?,How did you get my name
Unknown,Hello I'm sorry who is this?
Unknown ',Preferably later. Just trying to get this wrapped up here now.
Unknown,"Hi Amanda, is Trent able to connect later? Just finding out the cable is not repairable without tearing into the walls so has been a real pain today."
Unknown,Yes
Unknown ',?
Wrong number,Wrong number
Unknown,"Thanks, Amanda. Questions will be forthcoming, I'm sure, once I get into the trenches."
Deny,Happy to speak
More info,Hi Krystal! I'm not sure I received your email. Would you mind resending it?
Unknown,Yes i am when would be a good time for you?
Who is this,Who is this?
Unknown ',While is this?
Unknown,No thank you
Unknown,I'm sorry? Who and from where?
Deny,"Hi Krystal. Thanks for reaching out, but my LinkedIn is quite outdated. I stay at home with my toddler now, and I don't have any interest in going to back to work. Good luck with your search!"
Avoid,"Today is really a crazy day, how about texting me on Monday to pick a time slot. Thank you!"
Unknown,Yes
More info,"Hi Krystal, I did not receive an email. Can you please re send the information to jakehynds@gmail.com."
Deny,Hi Krystal. Thank you for reaching out. I am not interested in the above position. Thank you.
Unknown,Hi Crissy I'm sorry we are playing phone tag. I'm actually in Chicago and just had a break. Can you please give me a call Monday around 10:00 Please and thank you Jeanie
Unknown,"Thank you, Krystal. I am sorry I haven’t responded to your email before now. Can we keep in touch and reconnect in a month or two?"
Unknown,I appreciate you reaching out.
Wrong number,You have the wrong number
Deny,"Hi Krystal, not sure how you got my number but if this is in regards to employment opportunities, I'm not currently pursuing one. Thank you!"
Deny,I am not interested in the position. Thank you!
More info,Can you send me the job description
More info,Cwest52921@yahoo.com
Unknown,Hola
Deny,No thank you Krystal I'm not interested in the position. Thank you for your interest
Unknown,Go away
Who is this,Who is this?
Unknown,Manager positions only
Wrong number,Hi Krystal. This is Andy. I think you have the wrong number.
Unknown,What email?
Unknown,Resorting *
Unknown ',Lol resulting to cold text reach outs eh?
Unknown ',Stop!!!!!!!'n
How did you get my #?,No idea where you got that email as it is years old. How exactly did you get my information and what is this in regards to?
Unknown,Ok
Deny,"Hi Anna , I am not a product designer, thank you for reaching out"
Unknown ',I also had my own company as recently as 6 months ago?
Unknown,I will try to check my mail tonight at a hotel.
Deny,No but I'm on vacation now in Canada and am not getting my mail regularly.
Unknown ',"Well they're missing out on a talented carpenter, electrician and plumber"
Unknown,My apologies for not being able to update it while on the road. I still do maintenance on the weekends
Meeting,I am free any time after 330!
Unknown,Sorry. I'm not sure who this is
Unknown,Thanks again
Unknown,"Ok,I will"
Unknown,Hi Krystal. My email is connor.h.brim@gmail.com.
More info,honorhh@yahoo.com
